date,type,file_name,link
4/21/2022,pdf,Def180-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def180-CL20192911-042122.pdf
4/21/2022,MOV,Def638-CL20192911-042122.MOV,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def638-CL20192911-042122.MOV
4/21/2022,pdf,Def1094-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def1094-CL20192911-042122.pdf
4/21/2022,M4A,Def221-CL20192911-042122.M4A,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def221-CL20192911-042122.M4A
4/21/2022,m4a,Def839-CL20192911-042122.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def839-CL20192911-042122.m4a
4/21/2022,pdf,Def1085-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def1085-CL20192911-042122.pdf
4/21/2022,pdf,Def1089-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def1089-CL20192911-042122.pdf
4/25/2022,mp4,Def598C(31.14-33.04)-CL20192911-042522.mp4,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def598C(31.14-33.04)-CL20192911-042522.mp4
4/25/2022,mp4,Def598C(56.27-59.54)-CL20192911-042522.mp4,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def598C(56.27-59.54)-CL20192911-042522.mp4
4/25/2022,pdf,Def195-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def195-CL20192911-042522.pdf
4/25/2022,pdf,Def272-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def272-CL20192911-042522.pdf
4/25/2022,pdf,Def207-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def207-CL20192911-042522.pdf
4/25/2022,pdf,Def213-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def213-CL20192911-042522.pdf
4/25/2022,pdf,Def394-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def394-CL20192911-042522.pdf
4/25/2022,pdf,Def470-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def470-CL20192911-042522.pdf
4/25/2022,pdf,Def620-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def620-CL20192911-042522.pdf
4/25/2022,m4a,Def582-CL20192911-042522.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def582-CL20192911-042522.m4a
4/25/2022,m4a,Def586B-CL20192911-042522.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def586B-CL20192911-042522.m4a
4/25/2022,m4a,Def598B(0.00-0.20)-CL20192911-042522.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def598B(0.00-0.20)-CL20192911-042522.m4a
4/25/2022,m4a,Def598B(30.02-31.45)-CL20192911-042522.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def598B(30.02-31.45)-CL20192911-042522.m4a
4/25/2022,m4a,Def587B(19.40-19.53)-CL20192911-042522.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def587B(19.40-19.53)-CL20192911-042522.m4a
4/25/2022,m4a,Def587B(23.04-23.29)-CL20192911-042522.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def587B(23.04-23.29)-CL20192911-042522.m4a
4/25/2022,pdf,Def376C-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def376C-CL20192911-042522.pdf
4/25/2022,pdf,Def376G-CL20192911-042522.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def376G-CL20192911-042522.pdf
4/25/2022,m4a,Def581-CL20192911-042522.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def581-CL20192911-042522.m4a
4/26/2022,pdf,Def730-CL20192911-042622.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf
4/27/2022,pdf,Def1246-CL20192911-042722.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-27-2022/Def1246-CL20192911-042722.pdf
4/27/2022,pdf,Def1593-CL20192911-042722.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-27-2022/Def1593-CL20192911-042722.pdf
4/27/2022,pdf,Def1594-CL20192911-042722.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-27-2022/Def1594-CL20192911-042722.pdf
4/27/2022,pdf,Def782-CL20192911-042722.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-27-2022/Def782-CL20192911-042722.pdf
4/28/2022,pdf,Def1639-CL20192911-042822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-28-2022/Def1639-CL20192911-042822.pdf
4/28/2022,pdf,Def874A-CL20192911-042822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-28-2022/Def874A-CL20192911-042822.pdf
5/16/2022,pdf,Def1374A-CL20192911-051622.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/5-16-2022/Def1374A-CL20192911-051622.pdf
5/16/2022,pdf,Def252A-CL20192911-051622.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/5-16-2022/Def252A-CL20192911-051622.pdf
5/16/2022,pdf,Def421-CL20192911-051622.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/5-16-2022/Def421-CL20192911-051622.pdf
5/16/2022,pdf,Def423-CL20192911-051622.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/5-16-2022/Def423-CL20192911-051622.pdf
5/16/2022,pdf,Def447-CL20192911-051622.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/5-16-2022/Def447-CL20192911-051622.pdf
5/16/2022,pdf,Def449-CL20192911-051622.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/5-16-2022/Def449-CL20192911-051622.pdf
